country_id,title_ru,title_ua,title_be,title_en,title_es,title_pt,title_de,title_fr,title_it,title_pl,title_ja,title_lt,title_lv,title_cz
"83","Ирак","Iрак","Ірак","Iraq","Irak","Iraque","Irak","Irak","Iraq","Irak","イラク","Irakas","Irāka","Irák"
"7","Грузия","Грузiя","Грузія","Georgia","Georgia","Geórgia","Georgien","Géorgie","Georgia","Gruzja","グルジア","Gruzija","Gruzija","Gruzie"
"126","Мексика","Мексика","Мэксыка","Mexico","México","México","Mexiko","Mexique","Messico","Meksyk","メキシコ","Meksika","Meksika","Mexiko"
"35","Белиз","Белiз","Бэліз","Belize","Belice","Belize","Belize","Bélize","Belize","Belize","ベリーズ","Belizas","Belīza","Belize"
"29","Аруба","Аруба","Аруба","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","アルバ","Aruba","Aruba","Aruba"
"47","Бутан","Бутан","Бутан","Bhutan","Bután","Butão","Bhutan","Bouthan","Bhutan","Bhutan","ブータン","Butanas","Butāna","Bhútán"
"73","Дания","Данiя","Данія","Denmark","Dinamarca","Dinamarca","Dänemark","Danemark","Danimarca","Dania","デンマーク","Danija","Dānija","Dánsko"
"130","Монголия","Монголiя","Манголія","Mongolia","Mongolia","Mongólia","Mongolei","Mongolie","Mongolia","Mongolia","モンゴル","Mongolija","Mongolija","Mongolsko"
"129","Монако","Монако","Манака","Monaco","Mónaco","Mónaco","Monaco","Monaco","Monaco","Monako","モナコ","Monakas","Monako","Monako"
"57","Гаити","Гаїтi","Гаіці","Haiti","Haití","Haiti","Haiti","Haïti","Haiti","Haiti","ハイチ","Haitis","Haiti","Haiti"
"85","Ирландия","Iрландiя","Ірляндыя","Ireland","Irlanda","Irlanda","Irland","Irlande","Irlanda","Irlandia","アイルランド","Airija","Īrija","Irsko"
"120","Мали","Малi","Малі","Mali","Mali","Mali","Mali","Mali","Mali","Mali","マリ","Malis","Mali","Mali"
"100","Конго","Конго","Конга","Congo","Congo","Congo","Kongo","Congo","Congo","Kongo","コンゴ","Kongas","Kongo","Kongo (Brazzaville)"
"72","Гуам","Гуам","Гуам","Guam","Guam","Guam","Guam","Guam","Guam","Guam","グアム","Guamas","Guama","Guam"
"25","Ангола","Ангола","Ангола","Angola","Angola","Angola","Angola","Angola","Angola","Angola","アンゴラ","Angola","Angola","Angola"
"104","Куба","Куба","Куба","Cuba","Cuba","Cuba","Kuba","Cuba","Cuba","Kuba","キューバ","Kuba","Kuba","Kuba"
"106","Лаос","Лаос","Ляос","Laos","Laos","Laos","Laos","Laos","Laos","Laos","ラオス","Laosas","Laosa","Laos"
"110","Ливия","Лiвiя","Лібія","Libya","Libia","Líbia","Libyen","Lybie","Libia","Libia","リビア","Libija ","Lībija","Lybie"
"60","Гана","Гана","Гана","Ghana","Ghana","Gana","Ghana","Ghana","Ghana","Ghana","ガーナ","Gana","Gana","Ghana"
"59","Гамбия","Гамбiя","Гамбія","Gambia","Gambia","Gâmbia","Gambia","Gambie","Gambia","Gambia","ガンビア","Gambija","Gambija","Gambie"
"36","Бельгия","Бельгiя","Бэльгія","Belgium","Bélgica","Bélgica","Belgien","Belgique","Belgio","Belgia","ベルギー","Belgija","Beļģija","Belgie"
"37","Бенин","Бенiн","Бэнін","Benin","Benín","Benin","Benin","Bénin","Benin","Benin","ベナン","Beninas","Benīna","Benin"
"231","Джибути","Джiбутi","Джыбуці","Djibouti","Yibuti","Djibouti","Djibouti","Djibouti","Djibouti","Dżibuti","ジブチ","Džibutis","Džibuti","Džibutsko"
"95","Кипр","Кiпр","Кіпар","Cyprus","Chipre","Chipre","Zypern","Chypre","Cipro","Cypr","キプロス","Kipras","Kipra","Kypr"
"15","Молдова","Молдова","Малдова","Moldova","Moldavia","Moldávia","Moldavien","Moldavie","Moldavia","Mołdawia","モルドバ","Moldova","Moldova","Moldavsko"
"12","Латвия","Латвiя","Латвія","Latvia","Letonia","Letónia","Lettland","Lettonie","Lettonia","Łotwa","ラトヴィア","Latvija","Latvija","Lotyšsko"
"88","Италия","Iталiя","Італія","Italy","Italia","Itália","Italien","Italie","Italia","Włochy","イタリア","Italija","Itālija","Itálie"
"97","Китай","Китай","Кітай","China","China","China","China","Chine","Cina","Chiny","中国","Kinija","Ķīna","Čína"
"77","Замбия","Замбiя","Замбія","Zambia","Zambia","Zâmbia","Sambia","Zambie","Egitto","Zambia","ザンビア","Zambija","Zambija","Zambie"
"63","Гвинея","Гвiнея","Гвінэя","Guinea","Guinea","Guiné","Guinea","Guinée","Guinea","Gwinea","ギニア","Gvinėja","Gvineja","Guinea"
"116","Макао","Макао","Макаа","Macau","Macao","Macau","Macao","Macao","Macao","Makao","マカオ","Macao","Makao","Macao"
