Name;Rating;Category;Tags;Category ID;Subcategory ID;Address;Code+Region;Site;Phone;Email;Country;Region;City;GEO Country ID;GEO Region ID;GEO City ID
Queens Auto Locksmith;3,9;Auto Locksmith;Locksmith;9958;9959;42-40 Bell Blvd #226, Bayside, NY 11361, United States;Q66H+JR Bayside, Queens, NY, United States;http://queensautolocksmith.com/;+1 347-774-3039;queensautolock@gmail.com;Canada;Alberta;Athabasca;37;498;1442
EMT Locks - Auto Locksmith;5;Auto Locksmith;Locksmith|Key duplication service|Emergency locksmith service;9958;9959;;;https://www.emtlocksmith.com/;+1 718-619-4147;emtlocksmith@gmail.com;Canada;Alberta;Banff;37;498;1435
Brooklyn Auto Locksmith;;Auto Locksmith;Locksmith;9958;9959;;;http://brooklynautolocksmith.com/;+1 929-273-0799;autolocksmithbrooklyn@gmail.com;United States;New York;New York;222;3946;10580
Car Key King;4,4;Auto Locksmith;Locksmith|Emergency locksmith service;9958;9959;11 Sheer Plaza #2, Plainview, NY 11803, United States;QGMW+7J Plainview, Oyster Bay, NY, United States;http://www.carkeyking.com/;+1 516-243-7479;info@carkeyking.com;United States;New York;New York;222;3946;10580
PAYLESS CAR KEYS CORP.;5;Auto Locksmith;Locksmith|Hardware store|Key duplication service;9958;9959;2035 Victory Blvd, Staten Island, NY 10314, United States;JV79+3F Staten Island, New York, United States;http://paylesscarkeys.com/;+1 718-907-3000;sales@paylesscarkeys.com;United States;New York;New York;222;3946;10580
Car Keys New York;4,9;Auto Locksmith;Emergency locksmith service|Locksmith|Service establishment;9958;9959;;;http://www.carkeysny.com/;+1 917-475-0707;keys@carkeysny.com;United States;New York;New York;222;3946;10580
Mr. Locks Locksmith & Security;4,7;Auto Locksmith;Locksmith|Safe & vault shop|Key duplication service|Emergency locksmith service;9958;9959;400 2nd Ave, New York, NY 10010, United States;P2QC+42 New York, United States;http://www.mr-locks.com/;+1 212-586-3234;info@mr-locks.com;United States;New York;New York;222;3946;10580
System Addicts;4,6;Auto Locksmith;Car alarm supplier|Locksmith|Car stereo store|Electrical repair shop|Window tinting service|Key duplication service;9958;9959;727 Lyons Ave, Irvington, NJ 07111, United States;PQC9+P2 Irvington, New Jersey, United States;http://www.systemaddicts.com/;+1 973-399-8080;info@systemaddicts.com;United States;New York;New York;222;3946;10580
Locksmith Queens mobi;4,9;Auto Locksmith;Locksmith;9958;9959;;;http://www.locksmithqueens.mobi/;+1 718-404-4145;locksmithqueens.mobi@gmail.com;United States;New York;New York;222;3946;10580
Armor Locksmith & Security;4,6;Auto Locksmith;Locksmith;9958;9959;65-02 164th St, Fresh Meadows, NY 11365, United States;P5PV+MX Fresh Meadows, Queens, NY, United States;http://armorlocksmithny.com/;+1 718-445-9200;armorlocksmithny@gmail.com;United States;New York;New York;222;3946;10580
Artie's Locksmith NYC;4,7;Auto Locksmith;Locksmith|Locks supplier|Key duplication service|Emergency locksmith service;9958;9959;223 W 14th St, New York, NY 10011, United States;PXQX+MQ New York, United States;https://www.locksmithnyc.com/;+1 212-243-0381;info@locksmithnyc.com;United States;New York;New York;222;3946;10580
Keyworld Locksmith;4,2;Auto Locksmith;Locksmith;9958;9959;574 1st Ave, Elizabethport, NJ 07206, United States;MQ4X+8G Elizabethport, Elizabeth, NJ, United States;http://www.keyworldlocksmith.com/;+1 908-527-9696;fernando@keyworldlocksmith.com;United States;New York;New York;222;3946;10580
Key Star Locksmith;4,9;Auto Locksmith;Locksmith|Locks supplier|Safe & vault shop|Key duplication service|Emergency locksmith service;9958;9959;155a Northern Blvd, Great Neck, NY 11021, United States;Q7G9+7V Great Neck, North Hempstead, NY, United States;http://keystarlocksmith.com/;+1 516-487-0479;locksmithcarkeys@live.com;United States;New York;New York;222;3946;10580
