id,title,rating,rating_count,cat,phone,email,country,state,city,sub,address,site,register,email_count,users_mailer
10000081,"Fort River Landscape",5,,9970,"374 10-270077",fortuna@masterhand.pro,1,19,23,10114,"87 Ghazar Parpetsi St, Kondoz,Afganistan",http://fortunahome.am,,,
10000080,"Gloria Barbers","4,4",,9967,"95 162 437 479",grig@masterhand.pro,1,19,23,10040,"34 Amiryan St, Kondoz, Afganistan",http://www.hotelgrig.am,,,
10000079,"Clodd Fashion","4,7",,9967,"45 929-273-07",conte@masterhand.pro,1,11,14,10045,"30 Marshal Baghramyan Ave, Lashkar Gah, Helmand, Afganistan",http://www.conte.am,,,
10000078,"BigAg Builders",5,,9965,"471 8-619-414",bagram@masterhand.pro,1,11,14,9993,"16 Ghazar Parpetsi St, Lashkar Gah, Helmand, Afganistan",http://www.bshin.am,,,
10000077,"Atlas Construction","3,9",,9965,"3 743 473 039",atlas@masterhand.pro;proa@masterhand.pro;probb@masterhand.pro,1,11,14,9993,"2 Gyulbenkyan St, Lashkar Gah, Helmand, Afganistan",http://www.armbose.com,,,
10000055,"Sunny Woodwork; Inc.",5,,9970,"+1 206-842-7575",prok@masterhand.pro,1,19,23,10111,"38 Amiryan St, Kondoz, Afganistan",https://www.kitsapgutters.com/,,,
10000054,"K & R Master Carpentry",5,,9970,"+1 206-629-6118",prodd@masterhand.pro,1,19,23,10111,"34 Marshal Baghramyan Ave, Lashkar Gah, Helmand, Afganistan",https://www.glassmasterswindowcleaning.com/,,,
10000053,"Laiki Home Remodeling",5,,9970,"+1 425-449-6622",prodq@masterhand.pro,1,19,23,10111,"20 Ghazar Parpetsi St, Lashkar Gah, Helmand, Afganistan",https://www.highpointgutter.com/,,,
10000052,"Peshawar Design and Construction",5,,9970,"+1 206-898-8408",proz@masterhand.pro,1,19,23,10111,"6 Gyulbenkyan St, Lashkar Gah, Helmand, Afganistan",https://www.amigogutters.com/,1,,
10000051,Jacobgreg,"3,2",,9970,"+1 206-898-8408",projj@masterhand.pro,1,19,23,10111,"90 Ghazar Parpetsi St, Kondoz,Afganistan",https://amigogutters.com/,,,
10000050,"Tico's Carpentry Co",5,,9970,"+1 425-776-0884",prox@masterhand.pro,1,19,23,10111,"37 Amiryan St, Kondoz, Afganistan",http://www.gutterking.com/,,,
10000049,"Kabul APPLE BOXES","3,5",,9970,"+1 425-455-8590",prok@masterhand.pro,1,19,23,10111,"33 Marshal Baghramyan Ave, Lashkar Gah, Helmand, Afganistan",https://www.maxcleanpnw.com/,,,
10000048,"Innovative Carpentry","2,9",,9970,"+1 206-463-0031",prodd@masterhand.pro,1,19,23,10110,"19 Ghazar Parpetsi St, Lashkar Gah, Helmand, Afganistan",http://mukaifarmandgarden.org/,,,
10000047,"Cardone Custom Builders",4,,9970,"+1 425-452-2750",prodq@masterhand.pro,1,19,23,10110,"5 Gyulbenkyan St, Lashkar Gah, Helmand, Afganistan",https://bellevuebotanical.org/,,,
10000046,"Herat Carpenter + Mason","4,1",,9970,"+1 206-543-8616",proz@masterhand.pro,1,19,23,10110,"89 Ghazar Parpetsi St, Kondoz,Afganistan",https://botanicgardens.uw.edu/washington-park-arboretum/gardens/pacific-connections-garden/,,,
10000045,"Burns Brothers",5,,9970,"+1 206-226-3590",projj@masterhand.pro,1,11,14,10110,"36 Amiryan St, Kondoz, Afganistan",http://blueberryseniorcare.com/,,,
10000044,"Karen Carpenter",5,,9970,"+1 206-543-0415",prox@masterhand.pro,1,11,14,10110,"32 Marshal Baghramyan Ave, Lashkar Gah, Helmand, Afganistan",https://depts.washington.edu/hortlib,,,
10000043,"The Carpenters Touch","4,9",,9970,"+1 206-729-0399",prok@masterhand.pro,1,11,14,10110,"18 Ghazar Parpetsi St, Lashkar Gah, Helmand, Afganistan",http://www.tccbgg.com/,1,,
10000042,"Heights Carpenters Shop Inc","4,2",,9970,"+1 206-842-8959",prodd@masterhand.pro,1,11,14,10110,"4 Gyulbenkyan St, Lashkar Gah, Helmand, Afganistan",http://hollylanegardens.com/,,,
10000041,"Complete Carpentry","3,9",,9970,"+1 425-644-6427",prodq@masterhand.pro,1,11,14,10110,"88 Ghazar Parpetsi St, Kondoz,Afganistan",http://www.berkeysupply.com/,,,
10000040,"Mazari Carpenter Contractor",4,,9970,"+1 206-294-3953",proz@masterhand.pro,1,11,14,10110,"35 Amiryan St, Kondoz, Afganistan",https://columbia-garden-at-rainier-court.business.site/?utm_source=gmb&utm_medium=referral,,,
10000039,"Ahmed the Builder",5,,9970,"+1 425-823-0410",projj@masterhand.pro,1,11,14,10110,"31 Marshal Baghramyan Ave, Lashkar Gah, Helmand, Afganistan",http://gardensatjuanitabay.com/,,,
10000038,"Kabul Design + Build","4,7",,9970,"+1 206-595-2793",prox@masterhand.pro,1,11,14,10110,"17 Ghazar Parpetsi St, Lashkar Gah, Helmand, Afganistan",http://www.zookandolesongardening.com/,,,
10000037,"Dimensions Reiki LLC",5,,9970,"+1 425-739-8279",prok@masterhand.pro,1,11,14,10110,"3 Gyulbenkyan St, Lashkar Gah, Helmand, Afganistan",https://www.lwtech.edu/academics/environmental-horticulture/,,,
10000036,"Kabul Labor Technical College","4,3",,9970,"+1 206-498-8785",prodd@masterhand.pro,1,11,14,10110,"87 Ghazar Parpetsi St, Kondoz,Afganistan",https://hg-organics.com/,,,
10000035,"Kabul District Council-Carpenters",,,9970,"+1 206-226-3590",prodq@masterhand.pro,1,11,14,10110,"34 Amiryan St, Kondoz, Afganistan",http://blueberryseniorcare.com/,,,
10000034,"Kabul City District Council","4,3",,9970,,proz@masterhand.pro,1,11,14,10110,"30 Marshal Baghramyan Ave, Lashkar Gah, Helmand, Afganistan",https://marymoorgarden.org/,,,
10000033,"Oriens Living","4,3",,9970,"+1 206-543-8800",projj@masterhand.pro,1,11,14,10110,"16 Ghazar Parpetsi St, Lashkar Gah, Helmand, Afganistan",https://botanicgardens.uw.edu/washington-park-arboretum/,,,
10000032,"Agostino Quality Carpentry","4,6",,9970,"+1 206-533-1122",prox@masterhand.pro,1,11,14,10110,"2 Gyulbenkyan St, Lashkar Gah, Helmand, Afganistan",http://www.kaleidoscopeinc.net/,,,
